,data,valor,data_extracao,responsavel
selic_45,2023-05-10,0.050788,2023-07-14,AUTORA
selic_46,2023-05-09,0.050788,2023-07-14,AUTORA
selic_47,2023-05-08,0.050788,2023-07-14,AUTORA
selic_48,2023-05-05,0.050788,2023-07-14,AUTORA
selic_49,2023-05-04,0.050788,2023-07-14,AUTORA
selic_50,2023-05-03,0.050788,2023-07-14,AUTORA
selic_51,2023-05-02,0.050788,2023-07-14,AUTORA
selic_52,2023-04-28,0.050788,2023-07-14,AUTORA
selic_53,2023-04-27,0.050788,2023-07-14,AUTORA
selic_54,2023-04-26,0.050788,2023-07-14,AUTORA
selic_55,2023-04-25,0.050788,2023-07-14,AUTORA
selic_56,2023-04-24,0.050788,2023-07-14,AUTORA
selic_57,2023-04-20,0.050788,2023-07-14,AUTORA
selic_58,2023-04-19,0.050788,2023-07-14,AUTORA
selic_59,2023-04-18,0.050788,2023-07-14,AUTORA
selic_60,2023-04-17,0.050788,2023-07-14,AUTORA
selic_61,2023-04-14,0.050788,2023-07-14,AUTORA
selic_62,2023-04-13,0.050788,2023-07-14,AUTORA
selic_63,2023-04-12,0.050788,2023-07-14,AUTORA
selic_64,2023-04-11,0.050788,2023-07-14,AUTORA
selic_65,2023-04-10,0.050788,2023-07-14,AUTORA
selic_66,2023-04-06,0.050788,2023-07-14,AUTORA
selic_67,2023-04-05,0.050788,2023-07-14,AUTORA
selic_68,2023-04-04,0.050788,2023-07-14,AUTORA
selic_69,2023-04-03,0.050788,2023-07-14,AUTORA
selic_70,2023-03-31,0.050788,2023-07-14,AUTORA
selic_71,2023-03-30,0.050788,2023-07-14,AUTORA
selic_72,2023-03-29,0.050788,2023-07-14,AUTORA
selic_73,2023-03-28,0.050788,2023-07-14,AUTORA
selic_74,2023-03-27,0.050788,2023-07-14,AUTORA
selic_75,2023-03-24,0.050788,2023-07-14,AUTORA
selic_76,2023-03-23,0.050788,2023-07-14,AUTORA
selic_77,2023-03-22,0.050788,2023-07-14,AUTORA
selic_78,2023-03-21,0.050788,2023-07-14,AUTORA
selic_79,2023-03-20,0.050788,2023-07-14,AUTORA
selic_80,2023-03-17,0.050788,2023-07-14,AUTORA
selic_81,2023-03-16,0.050788,2023-07-14,AUTORA
selic_82,2023-03-15,0.050788,2023-07-14,AUTORA
selic_83,2023-03-14,0.050788,2023-07-14,AUTORA
selic_84,2023-03-13,0.050788,2023-07-14,AUTORA
selic_85,2023-03-10,0.050788,2023-07-14,AUTORA
selic_86,2023-03-09,0.050788,2023-07-14,AUTORA
selic_87,2023-03-08,0.050788,2023-07-14,AUTORA
selic_88,2023-03-07,0.050788,2023-07-14,AUTORA
selic_89,2023-03-06,0.050788,2023-07-14,AUTORA
selic_90,2023-03-03,0.050788,2023-07-14,AUTORA
selic_91,2023-03-02,0.050788,2023-07-14,AUTORA
selic_92,2023-03-01,0.050788,2023-07-14,AUTORA
selic_93,2023-02-28,0.050788,2023-07-14,AUTORA
selic_94,2023-02-27,0.050788,2023-07-14,AUTORA
selic_95,2023-02-24,0.050788,2023-07-14,AUTORA
selic_96,2023-02-23,0.050788,2023-07-14,AUTORA
selic_97,2023-02-22,0.050788,2023-07-14,AUTORA
selic_98,2023-02-17,0.050788,2023-07-14,AUTORA
selic_99,2023-02-16,0.050788,2023-07-14,AUTORA
selic_100,2023-02-15,0.050788,2023-07-14,AUTORA
selic_101,2023-02-14,0.050788,2023-07-14,AUTORA
selic_102,2023-02-13,0.050788,2023-07-14,AUTORA
selic_103,2023-02-10,0.050788,2023-07-14,AUTORA
selic_104,2023-02-09,0.050788,2023-07-14,AUTORA
selic_105,2023-02-08,0.050788,2023-07-14,AUTORA
selic_106,2023-02-07,0.050788,2023-07-14,AUTORA
selic_107,2023-02-06,0.050788,2023-07-14,AUTORA
selic_108,2023-02-03,0.050788,2023-07-14,AUTORA
selic_109,2023-02-02,0.050788,2023-07-14,AUTORA
selic_110,2023-02-01,0.050788,2023-07-14,AUTORA
selic_111,2023-01-31,0.050788,2023-07-14,AUTORA
selic_112,2023-01-30,0.050788,2023-07-14,AUTORA
selic_113,2023-01-27,0.050788,2023-07-14,AUTORA
selic_114,2023-01-26,0.050788,2023-07-14,AUTORA
selic_115,2023-01-25,0.050788,2023-07-14,AUTORA
selic_116,2023-01-24,0.050788,2023-07-14,AUTORA
selic_117,2023-01-23,0.050788,2023-07-14,AUTORA
selic_118,2023-01-20,0.050788,2023-07-14,AUTORA
selic_119,2023-01-19,0.050788,2023-07-14,AUTORA
selic_120,2023-01-18,0.050788,2023-07-14,AUTORA
selic_121,2023-01-17,0.050788,2023-07-14,AUTORA
selic_122,2023-01-16,0.050788,2023-07-14,AUTORA
selic_123,2023-01-13,0.050788,2023-07-14,AUTORA
selic_124,2023-01-12,0.050788,2023-07-14,AUTORA
selic_125,2023-01-11,0.050788,2023-07-14,AUTORA
selic_126,2023-01-10,0.050788,2023-07-14,AUTORA
selic_127,2023-01-09,0.050788,2023-07-14,AUTORA
selic_128,2023-01-06,0.050788,2023-07-14,AUTORA
selic_129,2023-01-05,0.050788,2023-07-14,AUTORA
selic_130,2023-01-04,0.050788,2023-07-14,AUTORA
selic_131,2023-01-03,0.050788,2023-07-14,AUTORA
selic_132,2023-01-02,0.050788,2023-07-14,AUTORA
selic_133,2022-12-30,0.050788,2023-07-14,AUTORA
selic_134,2022-12-29,0.050788,2023-07-14,AUTORA
selic_135,2022-12-28,0.050788,2023-07-14,AUTORA
selic_136,2022-12-27,0.050788,2023-07-14,AUTORA
selic_137,2022-12-26,0.050788,2023-07-14,AUTORA
selic_138,2022-12-23,0.050788,2023-07-14,AUTORA
selic_139,2022-12-22,0.050788,2023-07-14,AUTORA
selic_140,2022-12-21,0.050788,2023-07-14,AUTORA
selic_141,2022-12-20,0.050788,2023-07-14,AUTORA
selic_142,2022-12-19,0.050788,2023-07-14,AUTORA
selic_143,2022-12-16,0.050788,2023-07-14,AUTORA
selic_144,2022-12-15,0.050788,2023-07-14,AUTORA
selic_145,2022-12-14,0.050788,2023-07-14,AUTORA
selic_146,2022-12-13,0.050788,2023-07-14,AUTORA
selic_147,2022-12-12,0.050788,2023-07-14,AUTORA
selic_148,2022-12-09,0.050788,2023-07-14,AUTORA
selic_149,2022-12-08,0.050788,2023-07-14,AUTORA
selic_150,2022-12-07,0.050788,2023-07-14,AUTORA
selic_151,2022-12-06,0.050788,2023-07-14,AUTORA
selic_152,2022-12-05,0.050788,2023-07-14,AUTORA
selic_153,2022-12-02,0.050788,2023-07-14,AUTORA
selic_154,2022-12-01,0.050788,2023-07-14,AUTORA
selic_155,2022-11-30,0.050788,2023-07-14,AUTORA
selic_156,2022-11-29,0.050788,2023-07-14,AUTORA
selic_157,2022-11-28,0.050788,2023-07-14,AUTORA
selic_158,2022-11-25,0.050788,2023-07-14,AUTORA
selic_159,2022-11-24,0.050788,2023-07-14,AUTORA
selic_160,2022-11-23,0.050788,2023-07-14,AUTORA
selic_161,2022-11-22,0.050788,2023-07-14,AUTORA
selic_162,2022-11-21,0.050788,2023-07-14,AUTORA
selic_163,2022-11-18,0.050788,2023-07-14,AUTORA
selic_164,2022-11-17,0.050788,2023-07-14,AUTORA
selic_165,2022-11-16,0.050788,2023-07-14,AUTORA
selic_166,2022-11-14,0.050788,2023-07-14,AUTORA
selic_167,2022-11-11,0.050788,2023-07-14,AUTORA
selic_168,2022-11-10,0.050788,2023-07-14,AUTORA
selic_169,2022-11-09,0.050788,2023-07-14,AUTORA
selic_170,2022-11-08,0.050788,2023-07-14,AUTORA
selic_171,2022-11-07,0.050788,2023-07-14,AUTORA
selic_172,2022-11-04,0.050788,2023-07-14,AUTORA
selic_173,2022-11-03,0.050788,2023-07-14,AUTORA
selic_174,2022-11-01,0.050788,2023-07-14,AUTORA
selic_175,2022-10-31,0.050788,2023-07-14,AUTORA
selic_176,2022-10-28,0.050788,2023-07-14,AUTORA
selic_177,2022-10-27,0.050788,2023-07-14,AUTORA
selic_178,2022-10-26,0.050788,2023-07-14,AUTORA
selic_179,2022-10-25,0.050788,2023-07-14,AUTORA
selic_180,2022-10-24,0.050788,2023-07-14,AUTORA
selic_181,2022-10-21,0.050788,2023-07-14,AUTORA
selic_182,2022-10-20,0.050788,2023-07-14,AUTORA
selic_183,2022-10-19,0.050788,2023-07-14,AUTORA
selic_184,2022-10-18,0.050788,2023-07-14,AUTORA
selic_185,2022-10-17,0.050788,2023-07-14,AUTORA
selic_186,2022-10-14,0.050788,2023-07-14,AUTORA
selic_187,2022-10-13,0.050788,2023-07-14,AUTORA
selic_188,2022-10-11,0.050788,2023-07-14,AUTORA
selic_189,2022-10-10,0.050788,2023-07-14,AUTORA
selic_190,2022-10-07,0.050788,2023-07-14,AUTORA
selic_191,2022-10-06,0.050788,2023-07-14,AUTORA
selic_192,2022-10-05,0.050788,2023-07-14,AUTORA
selic_193,2022-10-04,0.050788,2023-07-14,AUTORA
selic_194,2022-10-03,0.050788,2023-07-14,AUTORA
selic_195,2022-09-30,0.050788,2023-07-14,AUTORA
selic_196,2022-09-29,0.050788,2023-07-14,AUTORA
selic_197,2022-09-28,0.050788,2023-07-14,AUTORA
selic_198,2022-09-27,0.050788,2023-07-14,AUTORA
selic_199,2022-09-26,0.050788,2023-07-14,AUTORA
selic_200,2022-09-23,0.050788,2023-07-14,AUTORA
selic_201,2022-09-22,0.050788,2023-07-14,AUTORA
selic_202,2022-09-21,0.050788,2023-07-14,AUTORA
selic_203,2022-09-20,0.050788,2023-07-14,AUTORA
selic_204,2022-09-19,0.050788,2023-07-14,AUTORA
selic_205,2022-09-16,0.050788,2023-07-14,AUTORA
selic_206,2022-09-15,0.050788,2023-07-14,AUTORA
selic_207,2022-09-14,0.050788,2023-07-14,AUTORA
selic_208,2022-09-13,0.050788,2023-07-14,AUTORA
selic_209,2022-09-12,0.050788,2023-07-14,AUTORA
selic_210,2022-09-09,0.050788,2023-07-14,AUTORA
selic_211,2022-09-08,0.050788,2023-07-14,AUTORA
selic_212,2022-09-06,0.050788,2023-07-14,AUTORA
selic_213,2022-09-05,0.050788,2023-07-14,AUTORA
selic_214,2022-09-02,0.050788,2023-07-14,AUTORA
selic_215,2022-09-01,0.050788,2023-07-14,AUTORA
selic_216,2022-08-31,0.050788,2023-07-14,AUTORA
selic_217,2022-08-30,0.050788,2023-07-14,AUTORA
selic_218,2022-08-29,0.050788,2023-07-14,AUTORA
selic_219,2022-08-26,0.050788,2023-07-14,AUTORA
selic_220,2022-08-25,0.050788,2023-07-14,AUTORA
selic_221,2022-08-24,0.050788,2023-07-14,AUTORA
selic_222,2022-08-23,0.050788,2023-07-14,AUTORA
selic_223,2022-08-22,0.050788,2023-07-14,AUTORA
selic_224,2022-08-19,0.050788,2023-07-14,AUTORA
selic_225,2022-08-18,0.050788,2023-07-14,AUTORA
selic_226,2022-08-17,0.050788,2023-07-14,AUTORA
selic_227,2022-08-16,0.050788,2023-07-14,AUTORA
selic_228,2022-08-15,0.050788,2023-07-14,AUTORA
selic_229,2022-08-12,0.050788,2023-07-14,AUTORA
selic_230,2022-08-11,0.050788,2023-07-14,AUTORA
selic_231,2022-08-10,0.050788,2023-07-14,AUTORA
selic_232,2022-08-09,0.050788,2023-07-14,AUTORA
selic_233,2022-08-08,0.050788,2023-07-14,AUTORA
selic_234,2022-08-05,0.050788,2023-07-14,AUTORA
selic_235,2022-08-04,0.050788,2023-07-14,AUTORA
selic_236,2022-08-03,0.049037,2023-07-14,AUTORA
selic_237,2022-08-02,0.049037,2023-07-14,AUTORA
selic_238,2022-08-01,0.049037,2023-07-14,AUTORA
selic_239,2022-07-29,0.049037,2023-07-14,AUTORA
selic_240,2022-07-28,0.049037,2023-07-14,AUTORA
selic_241,2022-07-27,0.049037,2023-07-14,AUTORA
selic_242,2022-07-26,0.049037,2023-07-14,AUTORA
selic_243,2022-07-25,0.049037,2023-07-14,AUTORA
selic_244,2022-07-22,0.049037,2023-07-14,AUTORA
selic_245,2022-07-21,0.049037,2023-07-14,AUTORA
selic_246,2022-07-20,0.049037,2023-07-14,AUTORA
selic_247,2022-07-19,0.049037,2023-07-14,AUTORA
selic_248,2022-07-18,0.049037,2023-07-14,AUTORA
selic_249,2022-07-15,0.049037,2023-07-14,AUTORA
selic_250,2022-07-14,0.049037,2023-07-14,AUTORA
selic_251,2022-07-13,0.049037,2023-07-14,AUTORA
selic_252,2022-07-12,0.049037,2023-07-14,AUTORA
selic_253,2022-07-11,0.049037,2023-07-14,AUTORA
selic_254,2022-07-08,0.049037,2023-07-14,AUTORA
selic_255,2022-07-07,0.049037,2023-07-14,AUTORA
selic_256,2022-07-06,0.049037,2023-07-14,AUTORA
selic_257,2022-07-05,0.049037,2023-07-14,AUTORA
selic_258,2022-07-04,0.049037,2023-07-14,AUTORA
selic_259,2022-07-01,0.049037,2023-07-14,AUTORA
selic_260,2022-06-30,0.049037,2023-07-14,AUTORA
selic_261,2022-06-29,0.049037,2023-07-14,AUTORA
selic_262,2022-06-28,0.049037,2023-07-14,AUTORA
selic_263,2022-06-27,0.049037,2023-07-14,AUTORA
selic_264,2022-06-24,0.049037,2023-07-14,AUTORA
selic_265,2022-06-23,0.049037,2023-07-14,AUTORA
selic_266,2022-06-22,0.049037,2023-07-14,AUTORA
selic_267,2022-06-21,0.049037,2023-07-14,AUTORA
selic_268,2022-06-20,0.049037,2023-07-14,AUTORA
selic_269,2022-06-17,0.049037,2023-07-14,AUTORA
selic_270,2022-06-15,0.047279,2023-07-14,AUTORA
selic_271,2022-06-14,0.047279,2023-07-14,AUTORA
selic_272,2022-06-13,0.047279,2023-07-14,AUTORA
selic_273,2022-06-10,0.047279,2023-07-14,AUTORA
selic_274,2022-06-09,0.047279,2023-07-14,AUTORA
selic_275,2022-06-08,0.047279,2023-07-14,AUTORA
selic_276,2022-06-07,0.047279,2023-07-14,AUTORA
selic_277,2022-06-06,0.047279,2023-07-14,AUTORA
selic_278,2022-06-03,0.047279,2023-07-14,AUTORA
selic_279,2022-06-02,0.047279,2023-07-14,AUTORA
selic_280,2022-06-01,0.047279,2023-07-14,AUTORA
selic_281,2022-05-31,0.047279,2023-07-14,AUTORA
selic_282,2022-05-30,0.047279,2023-07-14,AUTORA
selic_283,2022-05-27,0.047279,2023-07-14,AUTORA
selic_284,2022-05-26,0.047279,2023-07-14,AUTORA
selic_285,2022-05-25,0.047279,2023-07-14,AUTORA
selic_286,2022-05-24,0.047279,2023-07-14,AUTORA
selic_287,2022-05-23,0.047279,2023-07-14,AUTORA
selic_288,2022-05-20,0.047279,2023-07-14,AUTORA
selic_289,2022-05-19,0.047279,2023-07-14,AUTORA
selic_290,2022-05-18,0.047279,2023-07-14,AUTORA
selic_291,2022-05-17,0.047279,2023-07-14,AUTORA
selic_292,2022-05-16,0.047279,2023-07-14,AUTORA
selic_293,2022-05-13,0.047279,2023-07-14,AUTORA
selic_294,2022-05-12,0.047279,2023-07-14,AUTORA
selic_295,2022-05-11,0.047279,2023-07-14,AUTORA
selic_296,2022-05-10,0.047279,2023-07-14,AUTORA
selic_297,2022-05-09,0.047279,2023-07-14,AUTORA
selic_298,2022-05-06,0.047279,2023-07-14,AUTORA
selic_299,2022-05-05,0.047279,2023-07-14,AUTORA
selic_300,2022-05-04,0.043739,2023-07-14,AUTORA
selic_301,2022-05-03,0.043739,2023-07-14,AUTORA
selic_302,2022-05-02,0.043739,2023-07-14,AUTORA
selic_303,2022-04-29,0.043739,2023-07-14,AUTORA
selic_304,2022-04-28,0.043739,2023-07-14,AUTORA
selic_305,2022-04-27,0.043739,2023-07-14,AUTORA
selic_306,2022-04-26,0.043739,2023-07-14,AUTORA
selic_307,2022-04-25,0.043739,2023-07-14,AUTORA
selic_308,2022-04-22,0.043739,2023-07-14,AUTORA
selic_309,2022-04-20,0.043739,2023-07-14,AUTORA
selic_310,2022-04-19,0.043739,2023-07-14,AUTORA
selic_311,2022-04-18,0.043739,2023-07-14,AUTORA
selic_312,2022-04-14,0.043739,2023-07-14,AUTORA
selic_313,2022-04-13,0.043739,2023-07-14,AUTORA
selic_314,2022-04-12,0.043739,2023-07-14,AUTORA
selic_315,2022-04-11,0.043739,2023-07-14,AUTORA
selic_316,2022-04-08,0.043739,2023-07-14,AUTORA
selic_317,2022-04-07,0.043739,2023-07-14,AUTORA
selic_318,2022-04-06,0.043739,2023-07-14,AUTORA
selic_319,2022-04-05,0.043739,2023-07-14,AUTORA
selic_320,2022-04-04,0.043739,2023-07-14,AUTORA
selic_321,2022-04-01,0.043739,2023-07-14,AUTORA
selic_322,2022-03-31,0.043739,2023-07-14,AUTORA
selic_323,2022-03-30,0.043739,2023-07-14,AUTORA
selic_324,2022-03-29,0.043739,2023-07-14,AUTORA
selic_325,2022-03-28,0.043739,2023-07-14,AUTORA
selic_326,2022-03-25,0.043739,2023-07-14,AUTORA
selic_327,2022-03-24,0.043739,2023-07-14,AUTORA
selic_328,2022-03-23,0.043739,2023-07-14,AUTORA
selic_329,2022-03-22,0.043739,2023-07-14,AUTORA
selic_330,2022-03-21,0.043739,2023-07-14,AUTORA
selic_331,2022-03-18,0.043739,2023-07-14,AUTORA
selic_332,2022-03-17,0.043739,2023-07-14,AUTORA
selic_333,2022-03-16,0.040168,2023-07-14,AUTORA
selic_334,2022-03-15,0.040168,2023-07-14,AUTORA
selic_335,2022-03-14,0.040168,2023-07-14,AUTORA
selic_336,2022-03-11,0.040168,2023-07-14,AUTORA
selic_337,2022-03-10,0.040168,2023-07-14,AUTORA
selic_338,2022-03-09,0.040168,2023-07-14,AUTORA
selic_339,2022-03-08,0.040168,2023-07-14,AUTORA
selic_340,2022-03-07,0.040168,2023-07-14,AUTORA
selic_341,2022-03-04,0.040168,2023-07-14,AUTORA
selic_342,2022-03-03,0.040168,2023-07-14,AUTORA
selic_343,2022-03-02,0.040168,2023-07-14,AUTORA
selic_344,2022-02-25,0.040168,2023-07-14,AUTORA
selic_345,2022-02-24,0.040168,2023-07-14,AUTORA
selic_346,2022-02-23,0.040168,2023-07-14,AUTORA
selic_347,2022-02-22,0.040168,2023-07-14,AUTORA
selic_348,2022-02-21,0.040168,2023-07-14,AUTORA
selic_349,2022-02-18,0.040168,2023-07-14,AUTORA
selic_350,2022-02-17,0.040168,2023-07-14,AUTORA
selic_351,2022-02-16,0.040168,2023-07-14,AUTORA
selic_352,2022-02-15,0.040168,2023-07-14,AUTORA
selic_353,2022-02-14,0.040168,2023-07-14,AUTORA
selic_354,2022-02-11,0.040168,2023-07-14,AUTORA
selic_355,2022-02-10,0.040168,2023-07-14,AUTORA
selic_356,2022-02-09,0.040168,2023-07-14,AUTORA
selic_357,2022-02-08,0.040168,2023-07-14,AUTORA
selic_358,2022-02-07,0.040168,2023-07-14,AUTORA
selic_359,2022-02-04,0.040168,2023-07-14,AUTORA
selic_360,2022-02-03,0.040168,2023-07-14,AUTORA
selic_361,2022-02-02,0.034749,2023-07-14,AUTORA
selic_362,2022-02-01,0.034749,2023-07-14,AUTORA
selic_363,2022-01-31,0.034749,2023-07-14,AUTORA
selic_364,2022-01-28,0.034749,2023-07-14,AUTORA
selic_365,2022-01-27,0.034749,2023-07-14,AUTORA
selic_366,2022-01-26,0.034749,2023-07-14,AUTORA
selic_367,2022-01-25,0.034749,2023-07-14,AUTORA
selic_368,2022-01-24,0.034749,2023-07-14,AUTORA
selic_369,2022-01-21,0.034749,2023-07-14,AUTORA
selic_370,2022-01-20,0.034749,2023-07-14,AUTORA
selic_371,2022-01-19,0.034749,2023-07-14,AUTORA
selic_372,2022-01-18,0.034749,2023-07-14,AUTORA
selic_373,2022-01-17,0.034749,2023-07-14,AUTORA
selic_374,2022-01-14,0.034749,2023-07-14,AUTORA
selic_375,2022-01-13,0.034749,2023-07-14,AUTORA
selic_376,2022-01-12,0.034749,2023-07-14,AUTORA
selic_377,2022-01-11,0.034749,2023-07-14,AUTORA
selic_378,2022-01-10,0.034749,2023-07-14,AUTORA
selic_379,2022-01-07,0.034749,2023-07-14,AUTORA
selic_380,2022-01-06,0.034749,2023-07-14,AUTORA
selic_381,2022-01-05,0.034749,2023-07-14,AUTORA
selic_382,2022-01-04,0.034749,2023-07-14,AUTORA
selic_383,2022-01-03,0.034749,2023-07-14,AUTORA
selic_384,2021-12-31,0.034749,2023-07-14,AUTORA
selic_385,2021-12-30,0.034749,2023-07-14,AUTORA
selic_386,2021-12-29,0.034749,2023-07-14,AUTORA
selic_387,2021-12-28,0.034749,2023-07-14,AUTORA
selic_388,2021-12-27,0.034749,2023-07-14,AUTORA
selic_389,2021-12-24,0.034749,2023-07-14,AUTORA
selic_390,2021-12-23,0.034749,2023-07-14,AUTORA
selic_391,2021-12-22,0.034749,2023-07-14,AUTORA
selic_392,2021-12-21,0.034749,2023-07-14,AUTORA
selic_393,2021-12-20,0.034749,2023-07-14,AUTORA
selic_394,2021-12-17,0.034749,2023-07-14,AUTORA
selic_395,2021-12-16,0.034749,2023-07-14,AUTORA
selic_396,2021-12-15,0.034749,2023-07-14,AUTORA
selic_397,2021-12-14,0.034749,2023-07-14,AUTORA
selic_398,2021-12-13,0.034749,2023-07-14,AUTORA
selic_399,2021-12-10,0.034749,2023-07-14,AUTORA
selic_400,2021-12-09,0.034749,2023-07-14,AUTORA
selic_401,2021-12-08,0.029256,2023-07-14,AUTORA
selic_402,2021-12-07,0.029256,2023-07-14,AUTORA
selic_403,2021-12-06,0.029256,2023-07-14,AUTORA
selic_404,2021-12-03,0.029256,2023-07-14,AUTORA
selic_405,2021-12-02,0.029256,2023-07-14,AUTORA
selic_406,2021-12-01,0.029256,2023-07-14,AUTORA
selic_407,2021-11-30,0.029256,2023-07-14,AUTORA
selic_408,2021-11-29,0.029256,2023-07-14,AUTORA
selic_409,2021-11-26,0.029256,2023-07-14,AUTORA
selic_410,2021-11-25,0.029256,2023-07-14,AUTORA
selic_411,2021-11-24,0.029256,2023-07-14,AUTORA
selic_412,2021-11-23,0.029256,2023-07-14,AUTORA
selic_413,2021-11-22,0.029256,2023-07-14,AUTORA
selic_414,2021-11-19,0.029256,2023-07-14,AUTORA
selic_415,2021-11-18,0.029256,2023-07-14,AUTORA
selic_416,2021-11-17,0.029256,2023-07-14,AUTORA
selic_417,2021-11-16,0.029256,2023-07-14,AUTORA
selic_418,2021-11-12,0.029256,2023-07-14,AUTORA
selic_419,2021-11-11,0.029256,2023-07-14,AUTORA
selic_420,2021-11-10,0.029256,2023-07-14,AUTORA
selic_421,2021-11-09,0.029256,2023-07-14,AUTORA
selic_422,2021-11-08,0.029256,2023-07-14,AUTORA
selic_423,2021-11-05,0.029256,2023-07-14,AUTORA
selic_424,2021-11-04,0.029256,2023-07-14,AUTORA
selic_425,2021-11-03,0.029256,2023-07-14,AUTORA
selic_426,2021-11-01,0.029256,2023-07-14,AUTORA
selic_427,2021-10-29,0.029256,2023-07-14,AUTORA
selic_428,2021-10-28,0.029256,2023-07-14,AUTORA
selic_429,2021-10-27,0.023687,2023-07-14,AUTORA
selic_430,2021-10-26,0.023687,2023-07-14,AUTORA
selic_431,2021-10-25,0.023687,2023-07-14,AUTORA
selic_432,2021-10-22,0.023687,2023-07-14,AUTORA
selic_433,2021-10-21,0.023687,2023-07-14,AUTORA
selic_434,2021-10-20,0.023687,2023-07-14,AUTORA
selic_435,2021-10-19,0.023687,2023-07-14,AUTORA
selic_436,2021-10-18,0.023687,2023-07-14,AUTORA
selic_437,2021-10-15,0.023687,2023-07-14,AUTORA
selic_438,2021-10-14,0.023687,2023-07-14,AUTORA
selic_439,2021-10-13,0.023687,2023-07-14,AUTORA
selic_440,2021-10-11,0.023687,2023-07-14,AUTORA
selic_441,2021-10-08,0.023687,2023-07-14,AUTORA
selic_442,2021-10-07,0.023687,2023-07-14,AUTORA
selic_443,2021-10-06,0.023687,2023-07-14,AUTORA
selic_444,2021-10-05,0.023687,2023-07-14,AUTORA
selic_445,2021-10-04,0.023687,2023-07-14,AUTORA
selic_446,2021-10-01,0.023687,2023-07-14,AUTORA
selic_447,2021-09-30,0.023687,2023-07-14,AUTORA
selic_448,2021-09-29,0.023687,2023-07-14,AUTORA
selic_449,2021-09-28,0.023687,2023-07-14,AUTORA
selic_450,2021-09-27,0.023687,2023-07-14,AUTORA
selic_451,2021-09-24,0.023687,2023-07-14,AUTORA
selic_452,2021-09-23,0.023687,2023-07-14,AUTORA
selic_453,2021-09-22,0.01993,2023-07-14,AUTORA
selic_454,2021-09-21,0.01993,2023-07-14,AUTORA
selic_455,2021-09-20,0.01993,2023-07-14,AUTORA
selic_456,2021-09-17,0.01993,2023-07-14,AUTORA
selic_457,2021-09-16,0.01993,2023-07-14,AUTORA
selic_458,2021-09-15,0.01993,2023-07-14,AUTORA
selic_459,2021-09-14,0.01993,2023-07-14,AUTORA
selic_460,2021-09-13,0.01993,2023-07-14,AUTORA
selic_461,2021-09-10,0.01993,2023-07-14,AUTORA
selic_462,2021-09-09,0.01993,2023-07-14,AUTORA
selic_463,2021-09-08,0.01993,2023-07-14,AUTORA
selic_464,2021-09-06,0.01993,2023-07-14,AUTORA
